source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"3B070000001799801",0,"RINCHU_OBX_CD","ＡＬＰ [IFCC法]",46235077,"LOINC",20150508,20991231,""
"5G335000001799801",0,"RINCHU_OBX_CD","抗ランゲルハンス氏島抗体（ICA-IgG）",3019628,"LOINC",20020510,20991231,""
"5I070000001799802",0,"RINCHU_OBX_CD","CD4（TH/I）",3014037,"LOINC",19700101,20991231,""
"A1004000010000001",0,"RINCHU_OBX_CD","尿比重定性 [試験紙法]",3000330,"LOINC",19700101,20991231,""
"A1005000010000001",0,"RINCHU_OBX_CD","尿pH定性 [試験紙法]",3022621,"LOINC",19700101,20991231,""
"A1006000010000002",0,"RINCHU_OBX_CD","尿蛋白定性 [試験紙法]",3014051,"LOINC",19700101,20991231,""
"A1006000010000087",0,"RINCHU_OBX_CD","尿中蛋白･クレアチニン比(P/C比)[尿試験紙法]",3001582,"LOINC",19700101,20991231,""
"A1007040210000002",0,"RINCHU_OBX_CD","尿中微量アルブミン定性",36660607,"LOINC",20200617,20991231,""
"A1008000010000002",0,"RINCHU_OBX_CD","尿糖定性 [試験紙法]",3009261,"LOINC",19700101,20991231,""
"A1009000010000002",0,"RINCHU_OBX_CD","尿潜血定性 [試験紙法]",3011397,"LOINC",19700101,20991231,""
"A1013000010000002",0,"RINCHU_OBX_CD","尿ケトン体定性 [試験紙法]",3035350,"LOINC",19700101,20991231,""
"A1020000010000087",0,"RINCHU_OBX_CD","尿中アルブミン/クレアチニン比（アルブミン指数）",3034485,"LOINC",19700101,20991231,""
"A10200000100000H6",0,"RINCHU_OBX_CD","尿中アルブミン [濃度]",3012516,"LOINC",19700101,20991231,""
"A1021000010000084",0,"RINCHU_OBX_CD","尿蛋白定量 [一日量]",3020876,"LOINC",19700101,20991231,""
"A1021000010000085",0,"RINCHU_OBX_CD","尿蛋白定量 [濃度]",3037121,"LOINC",19700101,20991231,""
"A10210000100000J6",0,"RINCHU_OBX_CD","尿中蛋白･クレアチニン比(P/C比)",3001582,"LOINC",19700101,20991231,""
